NTC 2024-07-10 03:37:05.716+00:00 REST service started                       tid=1 file=server.nim:186 address=0.0.0.0:60963
INF 2024-07-10 03:37:05.716+00:00 Starting REST HTTP server                  tid=1 file=builder.nim:105 url=http://0.0.0.0:60963/
INF 2024-07-10 03:37:05.716+00:00 Running nwaku node                         topics="wakunode main" tid=1 file=waku.nim:121 version=v0.30.1-36-ge1518c
INF 2024-07-10 03:37:05.716+00:00 Configuration: Enabled protocols           topics="wakunode waku" tid=1 file=waku.nim:58 relay=true rlnRelay=false store=false filter=false lightpush=false peerExchange=true
INF 2024-07-10 03:37:05.716+00:00 Configuration. Network                     topics="wakunode waku" tid=1 file=waku.nim:66 cluster=0 maxPeers=none(int)
DBG 2024-07-10 03:37:05.716+00:00 Retrieve dynamic bootstrap nodes           topics="wakunode main" tid=1 file=waku.nim:131
DBG 2024-07-10 03:37:05.716+00:00 No method for retrieving dynamic bootstrap nodes specified. topics="waku dnsdisc" tid=1 file=waku_dnsdisc.nim:127
DBG 2024-07-10 03:37:05.716+00:00 Setting up storage                         tid=1 file=node_factory.nim:408
DBG 2024-07-10 03:37:05.716+00:00 Initializing node                          tid=1 file=node_factory.nim:417
TRC 2024-07-10 03:37:05.717+00:00 registering protocols                      topics="libp2p multistream" tid=1 file=multistream.nim:227 protos="@[\"/ipfs/id/1.0.0\"]"
TRC 2024-07-10 03:37:05.717+00:00 registering protocols                      topics="libp2p multistream" tid=1 file=multistream.nim:227 protos="@[\"/libp2p/autonat/1.0.0\"]"
TRC 2024-07-10 03:37:05.717+00:00 registering protocols                      topics="libp2p multistream" tid=1 file=multistream.nim:227 protos="@[\"/libp2p/circuit/relay/0.2.0/hop\", \"/libp2p/circuit/relay/0.1.0\"]"
TRC 2024-07-10 03:37:05.717+00:00 no peer storage found                      tid=1 file=peer_manager.nim:537
INF 2024-07-10 03:37:05.717+00:00 Initializing networking                    tid=1 file=waku_node.nim:150 addrs="@[/ip4/172.18.144.56/tcp/60964, /ip4/172.18.144.56/tcp/60965/ws]"
