INF 2024-02-10 03:17:33.131+00:00 Running nwaku node                         topics="wakunode main" tid=1 file=wakunode2.nim:100 version=v0.24.0-rc.0-32-ge60020
INF 2024-02-10 03:17:33.131+00:00 Configuration: Enabled protocols           topics="wakunode main" tid=1 file=wakunode2.nim:26 relay=true rlnRelay=false store=false filter=false lightpush=false peerExchange=true
INF 2024-02-10 03:17:33.131+00:00 Configuration. Network                     topics="wakunode main" tid=1 file=wakunode2.nim:34 cluster=0 pubsubTopics=@[] maxPeers=none(int)
DBG 2024-02-10 03:17:33.132+00:00 1/7 Setting up storage                     topics="wakunode main" tid=1 file=wakunode2.nim:113
DBG 2024-02-10 03:17:33.132+00:00 2/7 Retrieve dynamic bootstrap nodes       topics="wakunode main" tid=1 file=wakunode2.nim:121
DBG 2024-02-10 03:17:33.132+00:00 No method for retrieving dynamic bootstrap nodes specified. topics="wakunode app" tid=1 file=app.nim:201
DBG 2024-02-10 03:17:33.132+00:00 3/7 Initializing node                      topics="wakunode main" tid=1 file=wakunode2.nim:128
TRC 2024-02-10 03:17:33.132+00:00 registering protocols                      topics="libp2p multistream" tid=1 file=multistream.nim:220 protos="@[\"/ipfs/id/1.0.0\"]"
TRC 2024-02-10 03:17:33.132+00:00 registering protocols                      topics="libp2p multistream" tid=1 file=multistream.nim:220 protos="@[\"/libp2p/autonat/1.0.0\"]"
TRC 2024-02-10 03:17:33.132+00:00 registering protocols                      topics="libp2p multistream" tid=1 file=multistream.nim:220 protos="@[\"/libp2p/circuit/relay/0.2.0/hop\", \"/libp2p/circuit/relay/0.1.0\"]"
TRC 2024-02-10 03:17:33.132+00:00 no peer storage found                      tid=1 file=peer_manager.nim:500
INF 2024-02-10 03:17:33.132+00:00 Initializing networking                    tid=1 file=waku_node.nim:144 addrs="@[/ip4/172.18.178.23/tcp/44880, /ip4/172.18.178.23/tcp/44881/ws]"
DBG 2024-02-10 03:17:33.132+00:00 no relay sharding information, peer filtering disabled topics="waku discv5" tid=1 file=waku_discv5.nim:62
DBG 2024-02-10 03:17:33.132+00:00 4/7 Mounting protocols                     topics="wakunode main" tid=1 file=wakunode2.nim:135
INF 2024-02-10 03:17:33.132+00:00 Created WakuMetadata protocol              topics="waku node" tid=1 file=protocol.nim:115 clusterId=0 shards={}
TRC 2024-02-10 03:17:33.133+00:00 registering protocols                      topics="libp2p multistream" tid=1 file=multistream.nim:220 protos="@[\"/vac/waku/metadata/1.0.0\"]"
DBG 2024-02-10 03:17:33.133+00:00 Setting max message size                   topics="wakunode app" tid=1 file=app.nim:432 num_bytes=153600
INF 2024-02-10 03:17:33.133+00:00 mounting relay protocol                    topics="waku node" tid=1 file=waku_node.nim:382
TRC 2024-02-10 03:17:33.133+00:00 registering protocols                      topics="libp2p multistream" tid=1 file=multistream.nim:220 protos="@[\"/vac/waku/relay/2.0.0\", \"/meshsub/1.1.0\", \"/meshsub/1.0.0\", \"/meshsub/1.1.0\", \"/meshsub/1.0.0\"]"
INF 2024-02-10 03:17:33.133+00:00 relay mounted successfully                 topics="waku node" tid=1 file=waku_node.nim:401
DBG 2024-02-10 03:17:33.133+00:00 subscribe                                  topics="waku node" tid=1 file=waku_node.nim:270 pubsubTopic=/waku/2/default-waku/proto
DBG 2024-02-10 03:17:33.133+00:00 subscribe                                  topics="waku relay" tid=1 file=protocol.nim:245 pubsubTopic=/waku/2/default-waku/proto
TRC 2024-02-10 03:17:33.133+00:00 adding validator for topic                 topics="libp2p pubsub" tid=1 file=pubsub.nim:504 topicId=/waku/2/default-waku/proto
TRC 2024-02-10 03:17:33.133+00:00 subscribing to topic                       topics="libp2p pubsub" tid=1 file=pubsub.nim:468 name=/waku/2/default-waku/proto
TRC 2024-02-10 03:17:33.133+00:00 rebalancing mesh                           topics="libp2p gossipsub" tid=1 file=behavior.nim:318 mesh=0 gossipsub=0 topic=/waku/2/default-waku/proto
TRC 2024-02-10 03:17:33.133+00:00 replenishing mesh                          topics="libp2p gossipsub" tid=1 file=behavior.nim:330 peers=0 mesh=0 gossipsub=0 topic=/waku/2/default-waku/proto
TRC 2024-02-10 03:17:33.133+00:00 grafting                                   topics="libp2p gossipsub" tid=1 file=behavior.nim:359 grafting=0 mesh=0 gossipsub=0 topic=/waku/2/default-waku/proto
TRC 2024-02-10 03:17:33.133+00:00 mesh balanced                              topics="libp2p gossipsub" tid=1 file=behavior.nim:528 mesh=0 gossipsub=0 topic=/waku/2/default-waku/proto
DBG 2024-02-10 03:17:33.133+00:00 adding validator to signed topics          tid=1 file=wakunode2_validator_signed.nim:54
INF 2024-02-10 03:17:33.133+00:00 mounting rendezvous discovery protocol     topics="waku node" tid=1 file=waku_node.nim:1087
TRC 2024-02-10 03:17:33.133+00:00 registering protocols                      topics="libp2p multistream" tid=1 file=multistream.nim:220 protos="@[\"/rendezvous/1.0.0\"]"
INF 2024-02-10 03:17:33.133+00:00 mounting libp2p ping protocol              topics="waku node" tid=1 file=waku_node.nim:1045
TRC 2024-02-10 03:17:33.133+00:00 registering protocols                      topics="libp2p multistream" tid=1 file=multistream.nim:220 protos="@[\"/ipfs/ping/1.0.0\"]"
INF 2024-02-10 03:17:33.133+00:00 mounting store client                      topics="waku node" tid=1 file=waku_node.nim:838
INF 2024-02-10 03:17:33.133+00:00 mounting waku peer exchange                topics="waku node" tid=1 file=waku_node.nim:997
TRC 2024-02-10 03:17:33.133+00:00 registering protocols                      topics="libp2p multistream" tid=1 file=multistream.nim:220 protos="@[\"/vac/waku/peer-exchange/2.0.0-alpha1\"]"
DBG 2024-02-10 03:17:33.133+00:00 5/7 Starting node and mounted protocols    topics="wakunode main" tid=1 file=wakunode2.nim:142
INF 2024-02-10 03:17:33.133+00:00 Starting Waku node                         topics="waku node" tid=1 file=waku_node.nim:1135 version=v0.24.0-rc.0-32-ge60020
INF 2024-02-10 03:17:33.133+00:00 starting relay protocol                    topics="waku node" tid=1 file=waku_node.nim:350
DBG 2024-02-10 03:17:33.133+00:00 start                                      topics="waku relay" tid=1 file=protocol.nim:186
TRC 2024-02-10 03:17:33.133+00:00 gossipsub start                            topics="libp2p gossipsub" tid=1 file=gossipsub.nim:686
TRC 2024-02-10 03:17:33.133+00:00 running heartbeat                          topics="libp2p gossipsub" tid=1 file=behavior.nim:702 instance=140364267618384
TRC 2024-02-10 03:17:33.133+00:00 rebalancing mesh                           topics="libp2p gossipsub" tid=1 file=behavior.nim:318 mesh=0 gossipsub=0 topic=/waku/2/default-waku/proto
TRC 2024-02-10 03:17:33.133+00:00 replenishing mesh                          topics="libp2p gossipsub" tid=1 file=behavior.nim:330 peers=0 mesh=0 gossipsub=0 topic=/waku/2/default-waku/proto
TRC 2024-02-10 03:17:33.133+00:00 grafting                                   topics="libp2p gossipsub" tid=1 file=behavior.nim:359 grafting=0 mesh=0 gossipsub=0 topic=/waku/2/default-waku/proto
TRC 2024-02-10 03:17:33.133+00:00 mesh balanced                              topics="libp2p gossipsub" tid=1 file=behavior.nim:528 mesh=0 gossipsub=0 topic=/waku/2/default-waku/proto
TRC 2024-02-10 03:17:33.133+00:00 getting gossip peers (iHave)               topics="libp2p gossipsub" tid=1 file=behavior.nim:579 ntopics=0
TRC 2024-02-10 03:17:33.133+00:00 running scoring heartbeat                  topics="libp2p gossipsub" tid=1 file=scoring.nim:240 instance=140364267618384
TRC 2024-02-10 03:17:33.133+00:00 updating scores                            topics="libp2p gossipsub" tid=1 file=scoring.nim:108 peers=0
TRC 2024-02-10 03:17:33.133+00:00 updated scores                             topics="libp2p gossipsub" tid=1 file=scoring.nim:236 peers=0
INF 2024-02-10 03:17:33.133+00:00 relay started successfully                 topics="waku node" tid=1 file=waku_node.nim:371
DBG 2024-02-10 03:17:33.133+00:00 starting switch for peer                   topics="libp2p switch" tid=1 file=switch.nim:331 peerInfo="(peerId: \"16Uiu2HAmGNtM2rQ8abySFNhqPDFY4cmfAEpfo9Z9fD3NekoFR2ip\", listenAddrs: @[\"/ip4/0.0.0.0/tcp/44881/ws\", \"/ip4/0.0.0.0/tcp/44880\"], addrs: @[], protocols: @[\"/ipfs/id/1.0.0\", \"/libp2p/autonat/1.0.0\", \"/libp2p/circuit/relay/0.2.0/hop\", \"/vac/waku/metadata/1.0.0\", \"/vac/waku/relay/2.0.0\", \"/rendezvous/1.0.0\", \"/ipfs/ping/1.0.0\", \"/vac/waku/peer-exchange/2.0.0-alpha1\"], protoVersion: \"ipfs/0.1.0\", agentVersion: \"nwaku\")"
TRC 2024-02-10 03:17:33.133+00:00 starting transport on addrs                topics="libp2p transport" tid=1 file=transport.nim:48 address=@[/ip4/0.0.0.0/tcp/44880]
TRC 2024-02-10 03:17:33.133+00:00 Starting TCP transport                     topics="libp2p tcptransport" tid=1 file=tcptransport.nim:154
TRC 2024-02-10 03:17:33.134+00:00 Listening on                               topics="libp2p tcptransport" tid=1 file=tcptransport.nim:175 address=/ip4/0.0.0.0/tcp/44880
TRC 2024-02-10 03:17:33.134+00:00 starting transport on addrs                topics="libp2p transport" tid=1 file=transport.nim:48 address=@[/ip4/0.0.0.0/tcp/44881/ws]
TRC 2024-02-10 03:17:33.134+00:00 Starting WS transport                      topics="libp2p wstransport" tid=1 file=wstransport.nim:127
TRC 2024-02-10 03:17:33.134+00:00 Created HTTP Server                        topics="JSONRPC-WS-SERVER" tid=1 file=server.nim:238 host=0.0.0.0:44881
TRC 2024-02-10 03:17:33.134+00:00 Listening on                               topics="libp2p wstransport" tid=1 file=wstransport.nim:172 addresses=@[/ip4/0.0.0.0/tcp/44881/ws]
DBG 2024-02-10 03:17:33.134+00:00 About to accept incoming connection        topics="libp2p switch" tid=1 file=switch.nim:245
TRC 2024-02-10 03:17:33.134+00:00 Acquired slot                              topics="libp2p semaphore" tid=1 file=semaphore.nim:38 available=3 queue=0
TRC 2024-02-10 03:17:33.134+00:00 Acquired slot                              topics="libp2p semaphore" tid=1 file=semaphore.nim:38 available=49 queue=0
DBG 2024-02-10 03:17:33.134+00:00 About to accept incoming connection        topics="libp2p switch" tid=1 file=switch.nim:245
TRC 2024-02-10 03:17:33.134+00:00 Acquired slot                              topics="libp2p semaphore" tid=1 file=semaphore.nim:38 available=3 queue=0
TRC 2024-02-10 03:17:33.134+00:00 Acquired slot                              topics="libp2p semaphore" tid=1 file=semaphore.nim:38 available=48 queue=0
TRC 2024-02-10 03:17:33.134+00:00 Awaiting new request                       topics="websock http-server" tid=1 file=server.nim:170
DBG 2024-02-10 03:17:33.134+00:00 start                                      topics="waku relay" tid=1 file=protocol.nim:186
TRC 2024-02-10 03:17:33.134+00:00 gossipsub start                            topics="libp2p gossipsub" tid=1 file=gossipsub.nim:686
WRN 2024-02-10 03:17:33.134+00:00 Starting gossipsub twice                   topics="libp2p gossipsub" tid=1 file=gossipsub.nim:689
INF 2024-02-10 03:17:33.134+00:00 Setting up AutonatService                  topics="libp2p autonatservice" tid=1 file=service.nim:185
TRC 2024-02-10 03:17:33.134+00:00 Running AutonatService                     topics="libp2p autonatservice" tid=1 file=service.nim:199
TRC 2024-02-10 03:17:33.134+00:00 Asking peers for reachability              topics="libp2p autonatservice" tid=1 file=service.nim:145
DBG 2024-02-10 03:17:33.134+00:00 Started libp2p node                        topics="libp2p switch" tid=1 file=switch.nim:366 peer="(peerId: \"16Uiu2HAmGNtM2rQ8abySFNhqPDFY4cmfAEpfo9Z9fD3NekoFR2ip\", listenAddrs: @[\"/ip4/0.0.0.0/tcp/44880\", \"/ip4/0.0.0.0/tcp/44881/ws\"], addrs: @[\"/ip4/172.18.178.23/tcp/44880\", \"/ip4/172.18.178.23/tcp/44881/ws\"], protocols: @[\"/ipfs/id/1.0.0\", \"/libp2p/autonat/1.0.0\", \"/libp2p/circuit/relay/0.2.0/hop\", \"/vac/waku/metadata/1.0.0\", \"/vac/waku/relay/2.0.0\", \"/rendezvous/1.0.0\", \"/ipfs/ping/1.0.0\", \"/vac/waku/peer-exchange/2.0.0-alpha1\"], protoVersion: \"ipfs/0.1.0\", agentVersion: \"nwaku\")"
INF 2024-02-10 03:17:33.134+00:00 PeerInfo                                   topics="waku node" tid=1 file=waku_node.nim:1114 peerId=16U*oFR2ip addrs="@[/ip4/172.18.178.23/tcp/44880, /ip4/172.18.178.23/tcp/44881/ws]"
INF 2024-02-10 03:17:33.134+00:00 Listening on                               topics="waku node" tid=1 file=waku_node.nim:1126 full=[/ip4/0.0.0.0/tcp/44880/p2p/16Uiu2HAmGNtM2rQ8abySFNhqPDFY4cmfAEpfo9Z9fD3NekoFR2ip][/ip4/0.0.0.0/tcp/44881/ws/p2p/16Uiu2HAmGNtM2rQ8abySFNhqPDFY4cmfAEpfo9Z9fD3NekoFR2ip] localIp=172.17.0.3
INF 2024-02-10 03:17:33.134+00:00 Announcing addresses                       topics="waku node" tid=1 file=waku_node.nim:1127 full=[/ip4/172.18.178.23/tcp/44880/p2p/16Uiu2HAmGNtM2rQ8abySFNhqPDFY4cmfAEpfo9Z9fD3NekoFR2ip][/ip4/172.18.178.23/tcp/44881/ws/p2p/16Uiu2HAmGNtM2rQ8abySFNhqPDFY4cmfAEpfo9Z9fD3NekoFR2ip]
INF 2024-02-10 03:17:33.134+00:00 DNS: discoverable ENR                      topics="waku node" tid=1 file=waku_node.nim:1128 enr=enr:-Kq4QJ0Q2IytmTU2v-LylM1bR_YH_Z-PPCEIBRyG6gEH2xjPPjSrNUKxLznEcuSJW9r3ZD7wofrfnHwnGWUD-Rq2I-QBgmlkgnY0gmlwhKwSsheKbXVsdGlhZGRyc4wACgSsErIXBq9R3QOJc2VjcDI1NmsxoQM3Tqpf5eFn4Jztm4gB0Y0JVSJyxyZsW8QR-QU5DZb-PYN0Y3CCr1CDdWRwgq9ShXdha3UyAQ
INF 2024-02-10 03:17:33.134+00:00 Node started successfully                  topics="waku node" tid=1 file=waku_node.nim:1166
TRC 2024-02-10 03:17:33.134+00:00 Starting relay connectivity loop           topics="waku node peer_manager" tid=1 file=peer_manager.nim:870
TRC 2024-02-10 03:17:33.134+00:00 Starting prune peerstore loop              topics="waku node peer_manager" tid=1 file=peer_manager.nim:863
INF 2024-02-10 03:17:33.134+00:00 Relay peer connections                     topics="waku node peer_manager" tid=1 file=peer_manager.nim:886 inRelayConns=0/27 outRelayConns=0/13 totalConnections=0/50 notConnectedPeers=0 outsideBackoffPeers=0
INF 2024-02-10 03:17:33.134+00:00 Starting discovery v5 service              topics="waku discv5" tid=1 file=waku_discv5.nim:242
DBG 2024-02-10 03:17:33.134+00:00 start listening on udp port                topics="waku discv5" tid=1 file=waku_discv5.nim:244 address=0.0.0.0 port=44882
TRC 2024-02-10 03:17:33.135+00:00 start discv5 service                       topics="waku discv5" tid=1 file=waku_discv5.nim:252
INF 2024-02-10 03:17:33.135+00:00 Starting discovery v5 search               topics="waku discv5" tid=1 file=waku_discv5.nim:187
TRC 2024-02-10 03:17:33.135+00:00 running discv5 discovery loop              topics="waku discv5" tid=1 file=waku_discv5.nim:190
DBG 2024-02-10 03:17:33.135+00:00 Successfully started discovery v5 service  topics="waku discv5" tid=1 file=waku_discv5.nim:258
