NTC 2024-07-15 13:16:25.643+00:00 REST service started                       tid=1 file=server.nim:186 address=0.0.0.0:36281
INF 2024-07-15 13:16:25.643+00:00 Starting REST HTTP server                  tid=1 file=builder.nim:105 url=http://0.0.0.0:36281/
INF 2024-07-15 13:16:25.643+00:00 Running nwaku node                         topics="wakunode main" tid=1 file=waku.nim:121 version=v0.30.1-41-gf54ba1
INF 2024-07-15 13:16:25.643+00:00 Configuration: Enabled protocols           topics="wakunode waku" tid=1 file=waku.nim:58 relay=true rlnRelay=false store=false filter=false lightpush=true peerExchange=true
INF 2024-07-15 13:16:25.643+00:00 Configuration. Network                     topics="wakunode waku" tid=1 file=waku.nim:66 cluster=3 maxPeers=none(int)
DBG 2024-07-15 13:16:25.643+00:00 Retrieve dynamic bootstrap nodes           topics="wakunode main" tid=1 file=waku.nim:131
DBG 2024-07-15 13:16:25.643+00:00 No method for retrieving dynamic bootstrap nodes specified. topics="waku dnsdisc" tid=1 file=waku_dnsdisc.nim:127
DBG 2024-07-15 13:16:25.644+00:00 Setting up storage                         tid=1 file=node_factory.nim:437
DBG 2024-07-15 13:16:25.644+00:00 Initializing node                          tid=1 file=node_factory.nim:446
TRC 2024-07-15 13:16:25.644+00:00 registering protocols                      topics="libp2p multistream" tid=1 file=multistream.nim:227 protos="@[\"/ipfs/id/1.0.0\"]"
TRC 2024-07-15 13:16:25.644+00:00 registering protocols                      topics="libp2p multistream" tid=1 file=multistream.nim:227 protos="@[\"/libp2p/autonat/1.0.0\"]"
TRC 2024-07-15 13:16:25.644+00:00 registering protocols                      topics="libp2p multistream" tid=1 file=multistream.nim:227 protos="@[\"/libp2p/circuit/relay/0.2.0/hop\", \"/libp2p/circuit/relay/0.1.0\"]"
TRC 2024-07-15 13:16:25.644+00:00 no peer storage found                      tid=1 file=peer_manager.nim:537
INF 2024-07-15 13:16:25.644+00:00 Initializing networking                    tid=1 file=waku_node.nim:152 addrs="@[/ip4/172.18.112.52/tcp/36282, /ip4/172.18.112.52/tcp/36283/ws]"
DBG 2024-07-15 13:16:25.644+00:00 Mounting protocols                         tid=1 file=node_factory.nim:452
INF 2024-07-15 13:16:25.644+00:00 Created WakuMetadata protocol              topics="waku node" tid=1 file=protocol.nim:117 clusterId=3 shards={0}
TRC 2024-07-15 13:16:25.644+00:00 registering protocols                      topics="libp2p multistream" tid=1 file=multistream.nim:227 protos="@[\"/vac/waku/metadata/1.0.0\"]"
INF 2024-07-15 13:16:25.644+00:00 mounting sharding                          topics="waku node" tid=1 file=waku_node.nim:217 clusterId=3 shardCount=0
DBG 2024-07-15 13:16:25.644+00:00 Shards created from content topics         tid=1 file=node_factory.nim:154 contentTopics=@[] shards=@[]
DBG 2024-07-15 13:16:25.644+00:00 Setting max message size                   tid=1 file=node_factory.nim:163 num_bytes=153600
INF 2024-07-15 13:16:25.644+00:00 mounting relay protocol                    topics="waku node" tid=1 file=waku_node.nim:410
TRC 2024-07-15 13:16:25.645+00:00 registering protocols                      topics="libp2p multistream" tid=1 file=multistream.nim:227 protos="@[\"/vac/waku/relay/2.0.0\", \"/meshsub/1.2.0\", \"/meshsub/1.1.0\", \"/meshsub/1.0.0\", \"/meshsub/1.2.0\", \"/meshsub/1.1.0\", \"/meshsub/1.0.0\"]"
INF 2024-07-15 13:16:25.645+00:00 relay mounted successfully                 topics="waku node" tid=1 file=waku_node.nim:430 pubsubTopics=@[]
DBG 2024-07-15 13:16:25.645+00:00 adding validator to signed topics          tid=1 file=validator_signed.nim:54
INF 2024-07-15 13:16:25.645+00:00 mounting rendezvous discovery protocol     topics="waku node" tid=1 file=waku_node.nim:1206
