"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10747","test_relay","tests.discv5","Fri Jan 24 03:03:38 GMT 2025","passed","Fri Jan 24 03:03:48 GMT 2025","TestDiscv5","test_discv5","",""
"","9788","test_filter_get_message_after_one_peer_was_stopped","tests.filter","Fri Jan 24 03:06:05 GMT 2025","passed","Fri Jan 24 03:06:15 GMT 2025","TestFilterMultipleNodes","test_multiple_nodes","",""
"","1261","test_time_filter_zero_start_time","tests.store","Fri Jan 24 03:06:37 GMT 2025","passed","Fri Jan 24 03:06:39 GMT 2025","TestTimeFilter","test_time_filter","",""
"","839","test_store_with_excessive_length_hash","tests.store","Fri Jan 24 03:07:23 GMT 2025","passed","Fri Jan 24 03:07:24 GMT 2025","TestHashes","test_hashes","",""
"","223","test_filter_unsubscribe_with_very_large_request_id","tests.filter","Fri Jan 24 03:05:14 GMT 2025","passed","Fri Jan 24 03:05:14 GMT 2025","TestFilterUnSubscribe","test_unsubscribe","",""
"","0","test_valid_payloads_n1_with_rln_n2_without_rln_at_spam_rate","tests.relay","Fri Jan 24 03:04:25 GMT 2025","skipped","Fri Jan 24 03:04:25 GMT 2025","TestRelayRLN","test_rln","",""
"","4042","test_message_relayed_while_store_node_is_stopped_and_removed","tests.store","Fri Jan 24 03:07:46 GMT 2025","passed","Fri Jan 24 03:07:50 GMT 2025","TestReliability","test_reliability","",""
"","2759","test_pubsub_topic_not_in_docker_flags","tests.sharding","Fri Jan 24 03:06:56 GMT 2025","passed","Fri Jan 24 03:06:59 GMT 2025","TestRunningNodesStaticSharding","test_running_nodes_static_sharding","",""
"","4628","test_light_push_with_valid_payloads","tests.light_push","Fri Jan 24 03:06:17 GMT 2025","passed","Fri Jan 24 03:06:22 GMT 2025","TestLightPushPublish","test_publish","",""
"","5536","test_metrics_after_filter_get","tests.metrics","Fri Jan 24 03:06:29 GMT 2025","passed","Fri Jan 24 03:06:34 GMT 2025","TestMetrics","test_metrics","",""
"","3","test_filter_subscribe_with_invalid_pubsub_topic_format","tests.filter","Fri Jan 24 03:06:02 GMT 2025","passed","Fri Jan 24 03:06:02 GMT 2025","TestFilterSubscribeCreate","test_subscribe_create","",""
"","46960","test_filter_node_not_connected_directly_to_relaying_node","tests.e2e","Fri Jan 24 03:03:33 GMT 2025","passed","Fri Jan 24 03:04:20 GMT 2025","TestE2E","test_e2e","",""
"","3","test_filter_subscribe_with_no_request_id","tests.filter","Fri Jan 24 03:05:40 GMT 2025","passed","Fri Jan 24 03:05:40 GMT 2025","TestFilterSubscribeCreate","test_subscribe_create","",""
"","4","test_publish_with_invalid_version","tests.relay","Fri Jan 24 03:05:07 GMT 2025","passed","Fri Jan 24 03:05:07 GMT 2025","TestRelayPublish","test_publish","",""
"","3533","test_filter_static_sharding_multiple_shards","tests.sharding","Fri Jan 24 03:06:41 GMT 2025","passed","Fri Jan 24 03:06:44 GMT 2025","TestFilterStaticSharding","test_filter","",""
"","4282","test_optional_nodes_not_subscribed_to_same_topic","tests.filter","Fri Jan 24 03:05:21 GMT 2025","passed","Fri Jan 24 03:05:25 GMT 2025","TestFilterMultipleNodes","test_multiple_nodes","",""
"","0","test_valid_payloads_at_spam_rate","tests.relay","Fri Jan 24 03:04:25 GMT 2025","skipped","Fri Jan 24 03:04:25 GMT 2025","TestRelayRLN","test_rln","",""
"","20081","test_filter_subscribe_with_no_pubsub_topic","tests.filter","Fri Jan 24 03:04:01 GMT 2025","passed","Fri Jan 24 03:04:21 GMT 2025","TestFilterSubscribeCreate","test_subscribe_create","",""
"","6213","test_default_page_size","tests.store","Fri Jan 24 03:07:18 GMT 2025","passed","Fri Jan 24 03:07:24 GMT 2025","TestPageSize","test_page_size","",""
"","1381","test_relay_unsubscribe_from_non_existing_pubsub_topic","tests.relay","Fri Jan 24 03:06:16 GMT 2025","passed","Fri Jan 24 03:06:17 GMT 2025","TestRelaySubscribe","test_subscribe","",""
"","218","test_filter_get_message_duplicate_message","tests.filter","Fri Jan 24 03:08:44 GMT 2025","passed","Fri Jan 24 03:08:44 GMT 2025","TestFilterGetMessages","test_get_messages","",""
"","0","test_multiple_edge_service_nodes_communication","tests.e2e","Fri Jan 24 03:03:37 GMT 2025","skipped","Fri Jan 24 03:03:37 GMT 2025","TestE2E","test_e2e","",""
"","817","test_publish_with_payload_equal_or_more_150_kb","tests.relay","Fri Jan 24 03:09:20 GMT 2025","passed","Fri Jan 24 03:09:20 GMT 2025","TestRelayPublish","test_publish","",""
"","243","test_on_empty_postgress_db","tests.store","Fri Jan 24 03:07:39 GMT 2025","passed","Fri Jan 24 03:07:39 GMT 2025","TestExternalDb","test_external_db","",""
"","6841","test_multiple_receiving_nodes","tests.light_push","Fri Jan 24 03:04:32 GMT 2025","passed","Fri Jan 24 03:04:39 GMT 2025","TestMultipleNodes","test_multiple_nodes","",""
"","2876","test_main_node_relay_and_store__peer_relay_and_store","tests.store","Fri Jan 24 03:07:57 GMT 2025","passed","Fri Jan 24 03:08:00 GMT 2025","TestRunningNodes","test_running_nodes","",""
"","117","test_light_push_with_no_timestamp","tests.light_push","Fri Jan 24 03:04:07 GMT 2025","passed","Fri Jan 24 03:04:07 GMT 2025","TestLightPushPublish","test_publish","",""
"","4163","test_different_cursor_and_indexes[3-20]","tests.store","Fri Jan 24 03:06:48 GMT 2025","skipped","Fri Jan 24 03:06:52 GMT 2025","TestCursor","test_cursor","",""
"","112","test_publish_with_no_timestamp","tests.relay","Fri Jan 24 03:06:46 GMT 2025","passed","Fri Jan 24 03:06:46 GMT 2025","TestRelayPublish","test_publish","",""
"","2710","test_single_pubsub_topic[/waku/2/rs/2/0]","tests.sharding","Fri Jan 24 03:06:52 GMT 2025","passed","Fri Jan 24 03:06:55 GMT 2025","TestRunningNodesStaticSharding","test_running_nodes_static_sharding","",""
"","4","test_filter_subscribe_to_101_content_topics","tests.filter","Fri Jan 24 03:05:51 GMT 2025","passed","Fri Jan 24 03:05:51 GMT 2025","TestFilterSubscribeCreate","test_subscribe_create","",""
"","0","test_sync_with_nodes_restart__case1","tests.store_sync","Fri Jan 24 03:05:35 GMT 2025","skipped","Fri Jan 24 03:05:35 GMT 2025","TestStoreSync","test_store_sync","",""
"","4","test_filter_subscribe_with_invalid_request_id","tests.filter","Fri Jan 24 03:07:26 GMT 2025","passed","Fri Jan 24 03:07:26 GMT 2025","TestFilterSubscribeCreate","test_subscribe_create","",""
"","1309","test_messages_with_timestamps_close_to_now","tests.store","Fri Jan 24 03:07:20 GMT 2025","passed","Fri Jan 24 03:07:21 GMT 2025","TestTimeFilter","test_time_filter","",""
"","0","test_pubsub_topic_also_in_docker_flags[/waku/2/rs/2/1]","tests.sharding","Fri Jan 24 03:05:15 GMT 2025","skipped","Fri Jan 24 03:05:15 GMT 2025","TestRunningNodesAutosharding","test_running_nodes_auto_sharding","",""
"","4489","test_publish_with_valid_content_topics","tests.relay","Fri Jan 24 03:05:42 GMT 2025","passed","Fri Jan 24 03:05:46 GMT 2025","TestRelayPublish","test_publish","",""
"","0","test_filter_works_with_auto_sharding","tests.sharding","Fri Jan 24 03:05:46 GMT 2025","skipped","Fri Jan 24 03:05:46 GMT 2025","TestFilterAutoSharding","test_filter","",""
"","2751","test_2_nodes_different_cluster_different_shard","tests.sharding","Fri Jan 24 03:07:19 GMT 2025","passed","Fri Jan 24 03:07:22 GMT 2025","TestRunningNodesStaticSharding","test_running_nodes_static_sharding","",""
"","0","test_sync_nodes_are_not_relay_and_have_storenode_set","tests.store_sync","Fri Jan 24 03:07:52 GMT 2025","skipped","Fri Jan 24 03:07:52 GMT 2025","TestStoreSync","test_store_sync","",""
"","4","test_store_with_wrong_url_content_topic","tests.store","Fri Jan 24 03:07:26 GMT 2025","passed","Fri Jan 24 03:07:26 GMT 2025","TestTopics","test_topics","",""
"","1257","test_time_filter_matches_one_message","tests.store","Fri Jan 24 03:05:07 GMT 2025","passed","Fri Jan 24 03:05:08 GMT 2025","TestTimeFilter","test_time_filter","",""
"","1252","test_time_filter_invalid_start_time","tests.store","Fri Jan 24 03:07:20 GMT 2025","passed","Fri Jan 24 03:07:21 GMT 2025","TestTimeFilter","test_time_filter","",""
"","5508","test_2_lightpush_nodes_and_2_receiving_nodes","tests.light_push","Fri Jan 24 03:04:36 GMT 2025","passed","Fri Jan 24 03:04:42 GMT 2025","TestMultipleNodes","test_multiple_nodes","",""
"","0","test_single_content_topic[/app/27/sometopic/someencoding]","tests.sharding","Fri Jan 24 03:04:36 GMT 2025","skipped","Fri Jan 24 03:04:36 GMT 2025","TestRunningNodesAutosharding","test_running_nodes_auto_sharding","",""
"","223","test_publish_with_ephemeral","tests.relay","Fri Jan 24 03:05:14 GMT 2025","passed","Fri Jan 24 03:05:14 GMT 2025","TestRelayPublish","test_publish","",""
"","238","test_filter_subscribe_refresh","tests.filter","Fri Jan 24 03:03:57 GMT 2025","passed","Fri Jan 24 03:03:57 GMT 2025","TestFilterSubscribeCreate","test_subscribe_create","",""
"","3417","test_subscribe_via_api_to_new_pubsub_topics","tests.sharding","Fri Jan 24 03:08:40 GMT 2025","passed","Fri Jan 24 03:08:43 GMT 2025","TestRelayStaticSharding","test_relay_static_sharding","",""
"","2082","test_empty_cursor","tests.store","Fri Jan 24 03:05:23 GMT 2025","passed","Fri Jan 24 03:05:25 GMT 2025","TestCursor","test_cursor","",""
"","1256","test_relay_subscribe_to_single_pubsub_topic","tests.relay","Fri Jan 24 03:04:34 GMT 2025","passed","Fri Jan 24 03:04:35 GMT 2025","TestRelaySubscribe","test_subscribe","",""
"","9","test_filter_update_subscription_add_a_new_content_topic","tests.filter","Fri Jan 24 03:05:55 GMT 2025","skipped","Fri Jan 24 03:05:55 GMT 2025","TestFilterSubscribeUpdate","test_subscribe_update","",""
"","10","test_filter_update_subscription_add_30_new_content_topics","tests.filter","Fri Jan 24 03:06:10 GMT 2025","skipped","Fri Jan 24 03:06:10 GMT 2025","TestFilterSubscribeUpdate","test_subscribe_update","",""
"","8","test_filter_ping_on_peer_without_subscription","tests.filter","Fri Jan 24 03:04:32 GMT 2025","passed","Fri Jan 24 03:04:32 GMT 2025","TestFilterPing","test_ping","",""
"","0","test_filter_update_subscription_with_extra_field","tests.filter","Fri Jan 24 03:05:03 GMT 2025","skipped","Fri Jan 24 03:05:03 GMT 2025","TestFilterSubscribeUpdate","test_subscribe_update","",""
"","3","test_light_push_with_invalid_version","tests.light_push","Fri Jan 24 03:09:05 GMT 2025","passed","Fri Jan 24 03:09:05 GMT 2025","TestLightPushPublish","test_publish","",""
"","1","test_filter_update_subscription_with_invalid_content_topic_format","tests.filter","Fri Jan 24 03:04:12 GMT 2025","skipped","Fri Jan 24 03:04:12 GMT 2025","TestFilterSubscribeUpdate","test_subscribe_update","",""
"","0","test_static_shard_relay_10_nwaku_nodes","tests.sharding","Fri Jan 24 03:06:52 GMT 2025","skipped","Fri Jan 24 03:06:52 GMT 2025","TestMultipleNodes","test_multiple_nodes","",""
"","1585","test_store_node_paused_and_unpaused","tests.store","Fri Jan 24 03:07:28 GMT 2025","passed","Fri Jan 24 03:07:30 GMT 2025","TestReliability","test_reliability","",""
"","3378","test_filter_subscribe_to_29_content_topics_in_separate_calls","tests.filter","Fri Jan 24 03:04:55 GMT 2025","passed","Fri Jan 24 03:04:59 GMT 2025","TestFilterSubscribeCreate","test_subscribe_create","",""
"","0","test_content_topic_also_in_docker_flags[/aaaaa/3/bbbbb/proto]","tests.sharding","Fri Jan 24 03:06:33 GMT 2025","skipped","Fri Jan 24 03:06:33 GMT 2025","TestRunningNodesStaticSharding","test_running_nodes_static_sharding","",""
"","0","test_publish_on_not_subscribed_content_topic_works","tests.sharding","Fri Jan 24 03:04:57 GMT 2025","skipped","Fri Jan 24 03:04:57 GMT 2025","TestRelayAutosharding","test_relay_auto_sharding","",""
"","41467","test_msg_not_stored_when_ephemeral_true","tests.e2e","Fri Jan 24 03:04:19 GMT 2025","passed","Fri Jan 24 03:05:00 GMT 2025","TestE2E","test_e2e","",""
"","0","test_sender_uses_regular_api_receiver_uses_auto_api","tests.sharding","Fri Jan 24 03:06:29 GMT 2025","skipped","Fri Jan 24 03:06:29 GMT 2025","TestRunningNodesAutosharding","test_running_nodes_auto_sharding","",""
"","0","test_multiple_content_topics_same_shard[content_topic_list0]","tests.sharding","Fri Jan 24 03:05:15 GMT 2025","skipped","Fri Jan 24 03:05:15 GMT 2025","TestRunningNodesAutosharding","test_running_nodes_auto_sharding","",""
"","8296","test_different_cursor_and_indexes[10-40]","tests.store","Fri Jan 24 03:07:03 GMT 2025","skipped","Fri Jan 24 03:07:11 GMT 2025","TestCursor","test_cursor","",""
"","380","test_light_push_after_node_pauses_and_pauses","tests.light_push","Fri Jan 24 03:04:53 GMT 2025","passed","Fri Jan 24 03:04:54 GMT 2025","TestLightPushPublish","test_publish","",""
"","1","test_metadata_protocol_mounted_also_on_non_1_clusters","tests.logs","Fri Jan 24 03:05:03 GMT 2025","passed","Fri Jan 24 03:05:03 GMT 2025","TestLogs","test_logs","",""
"","1439","test_publish_and_retrieve_100_messages","tests.relay","Fri Jan 24 03:05:12 GMT 2025","passed","Fri Jan 24 03:05:14 GMT 2025","TestRelayPublish","test_publish","",""
"","0","test_pubsub_topic_also_in_docker_flags[/waku/2/rs/2/0]","tests.sharding","Fri Jan 24 03:06:52 GMT 2025","skipped","Fri Jan 24 03:06:52 GMT 2025","TestRunningNodesAutosharding","test_running_nodes_auto_sharding","",""
"","1939","test_relay_unsubscribe_from_some_pubsub_topics","tests.relay","Fri Jan 24 03:07:00 GMT 2025","passed","Fri Jan 24 03:07:02 GMT 2025","TestRelaySubscribe","test_subscribe","",""
"","0","test_valid_payloads_at_slow_rate","tests.relay","Fri Jan 24 03:04:25 GMT 2025","skipped","Fri Jan 24 03:04:25 GMT 2025","TestRelayRLN","test_rln","",""
"","10","test_filter_update_subscription_add_a_new_pubsub_topic","tests.filter","Fri Jan 24 03:05:02 GMT 2025","skipped","Fri Jan 24 03:05:02 GMT 2025","TestFilterSubscribeUpdate","test_subscribe_update","",""
"","4087","test_unsubscribe_from_some_pubsub_topics","tests.sharding","Fri Jan 24 03:08:55 GMT 2025","passed","Fri Jan 24 03:08:59 GMT 2025","TestRelayStaticSharding","test_relay_static_sharding","",""
"","16831","test_add_peers","tests.peer_connection_management","Fri Jan 24 03:05:56 GMT 2025","passed","Fri Jan 24 03:06:12 GMT 2025","TestPeerStore","test_peer_store","",""
"","6222","test_page_size_0_defaults_to_20","tests.store","Fri Jan 24 03:09:56 GMT 2025","passed","Fri Jan 24 03:10:02 GMT 2025","TestPageSize","test_page_size","",""
"","3373","test_lightpush_node_with_relay_works_correctly","tests.light_push","Fri Jan 24 03:05:31 GMT 2025","passed","Fri Jan 24 03:05:35 GMT 2025","TestRunningNodes","test_running_nodes","",""
"","834","test_store_with_non_base64_characters_in_hash","tests.store","Fri Jan 24 03:05:41 GMT 2025","skipped","Fri Jan 24 03:05:42 GMT 2025","TestHashes","test_hashes","",""
"","1388","test_relay_resubscribe_to_unsubscribed_pubsub_topic","tests.relay","Fri Jan 24 03:05:43 GMT 2025","passed","Fri Jan 24 03:05:45 GMT 2025","TestRelaySubscribe","test_subscribe","",""
"","782","test_publish_with_valid_timestamps","tests.relay","Fri Jan 24 03:06:40 GMT 2025","passed","Fri Jan 24 03:06:41 GMT 2025","TestRelayPublish","test_publish","",""
"","6","test_filter_subscribe_with_extra_field","tests.filter","Fri Jan 24 03:06:00 GMT 2025","passed","Fri Jan 24 03:06:00 GMT 2025","TestFilterSubscribeCreate","test_subscribe_create","",""
"","12768","test_filter","tests.discv5","Fri Jan 24 03:04:23 GMT 2025","passed","Fri Jan 24 03:04:36 GMT 2025","TestDiscv5","test_discv5","",""
"","3","test_filter_unsubscribe_all_with_invalid_request_id","tests.filter","Fri Jan 24 03:04:16 GMT 2025","passed","Fri Jan 24 03:04:16 GMT 2025","TestFilterUnSubscribeAll","test_unsubscribe_all","",""
"","40254","test_relay_receiving_node_not_connected_directly_to_relaying_node","tests.e2e","Fri Jan 24 03:04:21 GMT 2025","passed","Fri Jan 24 03:05:01 GMT 2025","TestE2E","test_e2e","",""
"","3044","test_single_pubsub_topic[/waku/2/rs/8/0]","tests.sharding","Fri Jan 24 03:04:36 GMT 2025","passed","Fri Jan 24 03:04:39 GMT 2025","TestRunningNodesStaticSharding","test_running_nodes_static_sharding","",""
"","124","test_light_push_and_retrieve_duplicate_message","tests.light_push","Fri Jan 24 03:05:37 GMT 2025","passed","Fri Jan 24 03:05:37 GMT 2025","TestLightPushPublish","test_publish","",""
"","925","test_light_push_with_valid_timestamps","tests.light_push","Fri Jan 24 03:07:48 GMT 2025","passed","Fri Jan 24 03:07:49 GMT 2025","TestLightPushPublish","test_publish","",""
"","221","test_filter_get_message_with_ephemeral","tests.filter","Fri Jan 24 03:08:40 GMT 2025","passed","Fri Jan 24 03:08:40 GMT 2025","TestFilterGetMessages","test_get_messages","",""
"","0","test_sync_nodes_have_store_true","tests.store_sync","Fri Jan 24 03:07:52 GMT 2025","skipped","Fri Jan 24 03:07:52 GMT 2025","TestStoreSync","test_store_sync","",""
"","0","test_subscribe_and_publish_on_another_content_topic_from_same_shard","tests.sharding","Fri Jan 24 03:07:04 GMT 2025","skipped","Fri Jan 24 03:07:04 GMT 2025","TestRelayAutosharding","test_relay_auto_sharding","",""
"","0","test_content_topic_and_pubsub_topic_not_in_docker_flags","tests.sharding","Fri Jan 24 03:05:15 GMT 2025","skipped","Fri Jan 24 03:05:15 GMT 2025","TestRunningNodesAutosharding","test_running_nodes_auto_sharding","",""
"","838","test_store_with_duplicate_hashes","tests.store","Fri Jan 24 03:04:56 GMT 2025","passed","Fri Jan 24 03:04:57 GMT 2025","TestHashes","test_hashes","",""
"","37053","test_relay_receiving_node_not_connected_directly_to_lightpushing_node","tests.e2e","Fri Jan 24 03:05:03 GMT 2025","passed","Fri Jan 24 03:05:40 GMT 2025","TestE2E","test_e2e","",""
"","460","test_filter_subscribe_with_multiple_overlapping_content_topics","tests.filter","Fri Jan 24 03:05:35 GMT 2025","passed","Fri Jan 24 03:05:36 GMT 2025","TestFilterSubscribeCreate","test_subscribe_create","",""
"","2815","test_main_node_relay_and_store__peer_only_store","tests.store","Fri Jan 24 03:07:59 GMT 2025","passed","Fri Jan 24 03:08:02 GMT 2025","TestRunningNodes","test_running_nodes","",""
"","581","test_message_relayed_while_store_node_is_paused","tests.store","Fri Jan 24 03:06:10 GMT 2025","passed","Fri Jan 24 03:06:11 GMT 2025","TestReliability","test_reliability","",""
"","4479","test_publish_with_valid_payloads","tests.relay","Fri Jan 24 03:08:25 GMT 2025","passed","Fri Jan 24 03:08:30 GMT 2025","TestRelayPublish","test_publish","",""
