"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Sep 13 09:53:32 GMT 2024","Fri Sep 13 09:53:32 GMT 2024","0","tests.peer_exchange","test_peer_exchange","TestPeerExchange","","","test_get_peers_for_filter_node",""
"passed","Fri Sep 13 09:56:31 GMT 2024","Fri Sep 13 09:56:32 GMT 2024","902","tests.relay","test_subscribe","TestRelaySubscribe","","","test_relay_unsubscribe_from_some_pubsub_topics",""
"passed","Fri Sep 13 09:52:56 GMT 2024","Fri Sep 13 09:53:01 GMT 2024","5586","tests.metrics","test_metrics","TestMetrics","","","test_metrics_after_filter_get",""
"passed","Fri Sep 13 10:03:49 GMT 2024","Fri Sep 13 10:03:49 GMT 2024","416","tests.store","test_get_messages","TestGetMessages","","","test_get_store_duplicate_messages",""
"passed","Fri Sep 13 09:44:15 GMT 2024","Fri Sep 13 09:44:41 GMT 2024","26437","tests.relay","test_rln","TestRelayRLN","","","test_valid_payload_at_variable_rate",""
"passed","Fri Sep 13 09:45:52 GMT 2024","Fri Sep 13 09:45:52 GMT 2024","130","tests.filter","test_subscribe_create","TestFilterSubscribeCreate","","","test_filter_subscribe_to_single_topics",""
"passed","Fri Sep 13 09:46:40 GMT 2024","Fri Sep 13 09:46:40 GMT 2024","6","tests.filter","test_subscribe_create","TestFilterSubscribeCreate","","","test_filter_subscribe_with_no_request_id",""
"passed","Fri Sep 13 09:51:22 GMT 2024","Fri Sep 13 09:51:22 GMT 2024","260","tests.light_push","test_publish","TestLightPushPublish","","","test_light_push_with_ephemeral",""
"passed","Fri Sep 13 10:10:28 GMT 2024","Fri Sep 13 10:10:28 GMT 2024","105","tests.store","test_topics","TestTopics","","","test_store_with_both_pubsub_topic_and_content_topic",""
"passed","Fri Sep 13 10:10:56 GMT 2024","Fri Sep 13 10:11:21 GMT 2024","25023","tests.store_sync","test_store_sync","TestStoreSync","","","test_sync_with_nodes_restart__case1",""
"passed","Fri Sep 13 10:08:03 GMT 2024","Fri Sep 13 10:08:14 GMT 2024","10960","tests.store","test_reliability","TestReliability","","","test_message_relayed_before_store_node_is_started",""
"passed","Fri Sep 13 09:58:36 GMT 2024","Fri Sep 13 09:58:40 GMT 2024","3944","tests.sharding","test_relay_auto_sharding","TestRelayAutosharding","","","test_publish_on_multiple_content_topics_and_only_after_fetch_them[content_topic_list1]",""
"passed","Fri Sep 13 09:45:58 GMT 2024","Fri Sep 13 09:45:58 GMT 2024","21","tests.filter","test_ping","TestFilterPing","","","test_filter_ping_on_unsubscribed_peer",""
"passed","Fri Sep 13 09:47:32 GMT 2024","Fri Sep 13 09:47:33 GMT 2024","244","tests.filter","test_unsubscribe","TestFilterUnSubscribe","","","test_filter_unsubscribe_from_all_subscribed_content_topics",""
"skipped","Fri Sep 13 09:53:32 GMT 2024","Fri Sep 13 09:53:32 GMT 2024","0","tests.peer_connection_management","test_peer_store","TestPeerStore","","","test_use_persistent_storage_survive_restart",""
"passed","Fri Sep 13 10:05:01 GMT 2024","Fri Sep 13 10:05:07 GMT 2024","6183","tests.store","test_page_size","TestPageSize","","","test_default_page_size",""
"passed","Fri Sep 13 09:50:38 GMT 2024","Fri Sep 13 09:50:39 GMT 2024","890","tests.light_push","test_publish","TestLightPushPublish","","","test_light_push_with_valid_timestamps",""
"passed","Fri Sep 13 09:58:50 GMT 2024","Fri Sep 13 09:58:54 GMT 2024","3820","tests.sharding","test_relay_static_sharding","TestRelayStaticSharding","","","test_cant_publish_on_not_subscribed_shard",""
"passed","Fri Sep 13 09:52:14 GMT 2024","Fri Sep 13 09:52:27 GMT 2024","13473","tests.light_push","test_running_nodes","TestRunningNodes","","","test_main_node_full__peer_full",""
"passed","Fri Sep 13 09:59:47 GMT 2024","Fri Sep 13 09:59:52 GMT 2024","5021","tests.sharding","test_running_nodes_auto_sharding","TestRunningNodesAutosharding","","","test_multiple_content_topics_same_shard[content_topic_list1]",""
"passed","Fri Sep 13 09:48:14 GMT 2024","Fri Sep 13 09:48:14 GMT 2024","8","tests.filter","test_unsubscribe","TestFilterUnSubscribe","","","test_filter_unsubscribe_with_invalid_request_id",""
"passed","Fri Sep 13 09:47:43 GMT 2024","Fri Sep 13 09:47:43 GMT 2024","129","tests.filter","test_unsubscribe","TestFilterUnSubscribe","","","test_filter_unsubscribe_from_non_existing_pubsub_topic",""
"passed","Fri Sep 13 09:59:12 GMT 2024","Fri Sep 13 09:59:16 GMT 2024","3768","tests.sharding","test_relay_static_sharding","TestRelayStaticSharding","","","test_unsubscribe_from_non_subscribed_pubsub_topics",""
"passed","Fri Sep 13 09:51:37 GMT 2024","Fri Sep 13 09:51:44 GMT 2024","7174","tests.light_push","test_publish","TestLightPushPublish","","","test_light_push_while_peer_is_paused",""
"skipped","Fri Sep 13 09:53:32 GMT 2024","Fri Sep 13 09:53:32 GMT 2024","0","tests.peer_exchange","test_peer_exchange","TestPeerExchange","","","test_get_peers_after_node1_was_restarted",""
"passed","Fri Sep 13 09:47:14 GMT 2024","Fri Sep 13 09:47:14 GMT 2024","30","tests.filter","test_subscribe_update","TestFilterSubscribeUpdate","","","test_filter_update_subscription_with_invalid_content_topic_format",""
"passed","Fri Sep 13 09:59:19 GMT 2024","Fri Sep 13 09:59:23 GMT 2024","4178","tests.sharding","test_running_nodes_auto_sharding","TestRunningNodesAutosharding","","","test_single_content_topic[/myapp/1/latest/proto]",""
"passed","Fri Sep 13 10:10:38 GMT 2024","Fri Sep 13 10:10:50 GMT 2024","12827","tests.store_sync","test_store_sync","TestStoreSync","","","test_check_sync_when_2_nodes_publish",""
"passed","Fri Sep 13 10:10:32 GMT 2024","Fri Sep 13 10:10:42 GMT 2024","9761","tests.store_sync","test_store_sync","TestStoreSync","","","test_sync_nodes_are_relay",""
"passed","Fri Sep 13 10:00:00 GMT 2024","Fri Sep 13 10:00:05 GMT 2024","4488","tests.sharding","test_running_nodes_auto_sharding","TestRunningNodesAutosharding","","","test_pubsub_topic_also_in_docker_flags[/waku/2/rs/2/1]",""
"passed","Fri Sep 13 09:42:21 GMT 2024","Fri Sep 13 09:42:59 GMT 2024","37343","tests.e2e","test_e2e","TestE2E","","","test_filter_node_not_connected_directly_to_relaying_node",""
"passed","Fri Sep 13 10:00:38 GMT 2024","Fri Sep 13 10:00:42 GMT 2024","4290","tests.sharding","test_running_nodes_static_sharding","TestRunningNodesStaticSharding","","","test_single_pubsub_topic[/waku/2/rs/8/0]",""
"passed","Fri Sep 13 09:53:05 GMT 2024","Fri Sep 13 09:53:16 GMT 2024","10586","tests.metrics","test_metrics","TestMetrics","","","test_metrics_after_light_push",""
"passed","Fri Sep 13 09:57:35 GMT 2024","Fri Sep 13 09:57:39 GMT 2024","4763","tests.sharding","test_relay_auto_sharding","TestRelayAutosharding","","","test_cant_retrieve_messages_on_not_subscribed_content_topic",""
"passed","Fri Sep 13 09:55:00 GMT 2024","Fri Sep 13 09:55:01 GMT 2024","664","tests.relay","test_publish","TestRelayPublish","","","test_publish_on_multiple_pubsub_topics",""
"passed","Fri Sep 13 09:48:34 GMT 2024","Fri Sep 13 09:48:34 GMT 2024","6","tests.filter","test_unsubscribe_all","TestFilterUnSubscribeAll","","","test_filter_unsubscribe_all_with_invalid_request_id",""
"passed","Fri Sep 13 10:08:03 GMT 2024","Fri Sep 13 10:08:19 GMT 2024","16552","tests.store","test_reliability","TestReliability","","","test_message_relayed_while_store_node_is_stopped_without_removing",""
"passed","Fri Sep 13 09:49:01 GMT 2024","Fri Sep 13 09:49:14 GMT 2024","12379","tests.light_push","test_multiple_nodes","TestMultipleNodes","","","test_multiple_lightpush_nodes",""
"passed","Fri Sep 13 09:55:41 GMT 2024","Fri Sep 13 09:55:41 GMT 2024","8","tests.relay","test_publish","TestRelayPublish","","","test_publish_with_extra_field",""
"passed","Fri Sep 13 09:48:15 GMT 2024","Fri Sep 13 09:48:15 GMT 2024","357","tests.filter","test_unsubscribe","TestFilterUnSubscribe","","","test_filter_resubscribe_to_unsubscribed_topics",""
"passed","Fri Sep 13 09:44:27 GMT 2024","Fri Sep 13 09:44:28 GMT 2024","234","tests.filter","test_get_messages","TestFilterGetMessages","","","test_filter_get_message_duplicate_message",""
"passed","Fri Sep 13 09:58:58 GMT 2024","Fri Sep 13 09:59:04 GMT 2024","5411","tests.sharding","test_relay_static_sharding","TestRelayStaticSharding","","","test_unsubscribe_from_some_pubsub_topics",""
"passed","Fri Sep 13 09:47:16 GMT 2024","Fri Sep 13 09:47:16 GMT 2024","5","tests.filter","test_subscribe_update","TestFilterSubscribeUpdate","","","test_filter_update_subscription_with_no_request_id",""
"passed","Fri Sep 13 09:43:01 GMT 2024","Fri Sep 13 09:43:38 GMT 2024","36358","tests.e2e","test_e2e","TestE2E","","","test_store_node_not_connected_directly_to_relaying_node",""
"passed","Fri Sep 13 10:08:45 GMT 2024","Fri Sep 13 10:08:49 GMT 2024","3967","tests.store","test_running_nodes","TestRunningNodes","","","test_store_with_filter",""
"passed","Fri Sep 13 09:55:32 GMT 2024","Fri Sep 13 09:55:32 GMT 2024","4","tests.relay","test_publish","TestRelayPublish","","","test_publish_with_invalid_meta",""
"passed","Fri Sep 13 10:11:09 GMT 2024","Fri Sep 13 10:11:34 GMT 2024","25765","tests.store_sync","test_store_sync","TestStoreSync","","","test_sync_with_one_node_with_delayed_start",""
"passed","Fri Sep 13 10:01:37 GMT 2024","Fri Sep 13 10:01:45 GMT 2024","7710","tests.relay","test_rln","TestRelayRLN","","","test_valid_payloads_n1_with_rln_n2_without_rln_at_spam_rate",""
"passed","Fri Sep 13 10:09:46 GMT 2024","Fri Sep 13 10:09:46 GMT 2024","37","tests.store","test_topics","TestTopics","","","test_store_with_one_content_topic",""
"passed","Fri Sep 13 09:56:42 GMT 2024","Fri Sep 13 09:56:47 GMT 2024","4115","tests.sharding","test_filter","TestFilterStaticSharding","","","test_filter_works_with_static_sharding",""
"passed","Fri Sep 13 09:59:51 GMT 2024","Fri Sep 13 09:59:56 GMT 2024","4024","tests.sharding","test_running_nodes_auto_sharding","TestRunningNodesAutosharding","","","test_2_nodes_different_content_topic_same_shard",""
"passed","Fri Sep 13 09:55:32 GMT 2024","Fri Sep 13 09:55:32 GMT 2024","116","tests.relay","test_publish","TestRelayPublish","","","test_publish_with_valid_meta",""
"passed","Fri Sep 13 10:10:40 GMT 2024","Fri Sep 13 10:10:55 GMT 2024","14340","tests.store_sync","test_store_sync","TestStoreSync","","","test_check_sync_when_all_3_nodes_publish",""
"passed","Fri Sep 13 10:10:04 GMT 2024","Fri Sep 13 10:10:04 GMT 2024","6","tests.store","test_topics","TestTopics","","","test_store_with_unknown_pubsub_topic",""
"passed","Fri Sep 13 09:53:23 GMT 2024","Fri Sep 13 09:53:43 GMT 2024","19902","tests.peer_connection_management","test_peer_store","TestPeerStore","","","test_get_peers",""
"passed","Fri Sep 13 09:59:31 GMT 2024","Fri Sep 13 09:59:35 GMT 2024","4205","tests.sharding","test_running_nodes_auto_sharding","TestRunningNodesAutosharding","","","test_single_content_topic[/statusim/1/community/cbor]",""
"passed","Fri Sep 13 09:44:35 GMT 2024","Fri Sep 13 09:44:41 GMT 2024","5586","tests.filter","test_get_messages","TestFilterGetMessages","","","test_filter_get_message_after_node1_restarts",""
"passed","Fri Sep 13 10:07:18 GMT 2024","Fri Sep 13 10:07:21 GMT 2024","3751","tests.store","test_reliability","TestReliability","","","test_publishing_node_restarts",""
"passed","Fri Sep 13 09:50:48 GMT 2024","Fri Sep 13 09:50:48 GMT 2024","62","tests.light_push","test_publish","TestLightPushPublish","","","test_light_push_with_invalid_timestamps",""
"passed","Fri Sep 13 09:47:56 GMT 2024","Fri Sep 13 09:47:56 GMT 2024","4","tests.filter","test_unsubscribe","TestFilterUnSubscribe","","","test_filter_unsubscribe_with_no_pubsub_topic",""
"passed","Fri Sep 13 09:56:15 GMT 2024","Fri Sep 13 09:56:16 GMT 2024","537","tests.relay","test_subscribe","TestRelaySubscribe","","","test_relay_subscribe_with_multiple_overlapping_pubsub_topics",""
"passed","Fri Sep 13 09:53:18 GMT 2024","Fri Sep 13 09:53:24 GMT 2024","5360","tests.metrics","test_metrics","TestMetrics","","","test_metrics_after_store_get",""
"passed","Fri Sep 13 09:57:12 GMT 2024","Fri Sep 13 09:57:17 GMT 2024","4577","tests.sharding","test_relay_auto_sharding","TestRelayAutosharding","","","test_subscribe_and_publish_on_another_content_topic_from_same_shard",""
"passed","Fri Sep 13 10:05:23 GMT 2024","Fri Sep 13 10:05:29 GMT 2024","6194","tests.store","test_page_size","TestPageSize","","","test_page_size_0_defaults_to_20",""
"passed","Fri Sep 13 09:56:26 GMT 2024","Fri Sep 13 09:56:26 GMT 2024","167","tests.relay","test_subscribe","TestRelaySubscribe","","","test_relay_unsubscribe_from_single_pubsub_topic",""
"passed","Fri Sep 13 09:59:57 GMT 2024","Fri Sep 13 10:00:02 GMT 2024","4681","tests.sharding","test_running_nodes_auto_sharding","TestRunningNodesAutosharding","","","test_2_nodes_different_content_topic_different_shard",""
"passed","Fri Sep 13 09:46:23 GMT 2024","Fri Sep 13 09:46:23 GMT 2024","7","tests.filter","test_subscribe_create","TestFilterSubscribeCreate","","","test_filter_subscribe_with_no_pubsub_topic",""
"passed","Fri Sep 13 09:59:48 GMT 2024","Fri Sep 13 09:59:54 GMT 2024","5378","tests.sharding","test_running_nodes_auto_sharding","TestRunningNodesAutosharding","","","test_multiple_content_topics_different_shard",""
"passed","Fri Sep 13 09:48:41 GMT 2024","Fri Sep 13 09:48:49 GMT 2024","8379","tests.light_push","test_multiple_nodes","TestMultipleNodes","","","test_2_lightpush_nodes_and_2_receiving_nodes",""
"passed","Fri Sep 13 09:47:04 GMT 2024","Fri Sep 13 09:47:04 GMT 2024","22","tests.filter","test_subscribe_update","TestFilterSubscribeUpdate","","","test_filter_update_subscription_with_no_pubsub_topic",""
"skipped","Fri Sep 13 09:57:03 GMT 2024","Fri Sep 13 09:57:03 GMT 2024","0","tests.sharding","test_multiple_nodes","TestMultipleNodes","","","test_auto_shard_relay",""
"passed","Fri Sep 13 09:50:53 GMT 2024","Fri Sep 13 09:50:54 GMT 2024","124","tests.light_push","test_publish","TestLightPushPublish","","","test_light_push_with_valid_version",""
"passed","Fri Sep 13 10:00:53 GMT 2024","Fri Sep 13 10:00:57 GMT 2024","4075","tests.sharding","test_running_nodes_static_sharding","TestRunningNodesStaticSharding","","","test_2_nodes_different_cluster_different_shard",""
"passed","Fri Sep 13 10:10:47 GMT 2024","Fri Sep 13 10:11:03 GMT 2024","15833","tests.store_sync","test_store_sync","TestStoreSync","","","test_sync_messages_received_via_lightpush",""
"passed","Fri Sep 13 10:11:19 GMT 2024","Fri Sep 13 10:11:28 GMT 2024","9068","tests.store_sync","test_store_sync","TestStoreSync","","","test_sync_flags",""
"passed","Fri Sep 13 09:46:32 GMT 2024","Fri Sep 13 09:46:32 GMT 2024","5","tests.filter","test_subscribe_create","TestFilterSubscribeCreate","","","test_filter_subscribe_with_invalid_pubsub_topic_format",""
"passed","Fri Sep 13 10:08:38 GMT 2024","Fri Sep 13 10:08:41 GMT 2024","3317","tests.store","test_running_nodes","TestRunningNodes","","","test_main_node_only_relay__peer_only_store",""
"passed","Fri Sep 13 09:52:03 GMT 2024","Fri Sep 13 09:52:07 GMT 2024","4263","tests.light_push","test_running_nodes","TestRunningNodes","","","test_main_node_only_lightpush__peer_only_lightpush",""
"passed","Fri Sep 13 09:44:12 GMT 2024","Fri Sep 13 09:44:13 GMT 2024","115","tests.filter","test_get_messages","TestFilterGetMessages","","","test_filter_get_message_with_meta",""
"passed","Fri Sep 13 09:53:40 GMT 2024","Fri Sep 13 09:53:41 GMT 2024","136","tests.relay","test_multiple_nodes","TestRelayMultipleNodes","","","test_first_node_to_start_publishes",""
"passed","Fri Sep 13 09:43:44 GMT 2024","Fri Sep 13 09:44:39 GMT 2024","54896","tests.e2e","test_e2e","TestE2E","","","test_chain_of_relay_nodes",""
"passed","Fri Sep 13 09:52:43 GMT 2024","Fri Sep 13 09:53:16 GMT 2024","32218","tests.light_push","test_publish","TestLightPushPublish","","","test_light_push_after_receiving_node_restarts",""
"passed","Fri Sep 13 10:10:27 GMT 2024","Fri Sep 13 10:10:34 GMT 2024","7220","tests.store_sync","test_store_sync","TestStoreSync","","","test_sync_nodes_are_not_relay_and_have_storenode_set",""
"passed","Fri Sep 13 10:03:44 GMT 2024","Fri Sep 13 10:03:44 GMT 2024","211","tests.store","test_get_messages","TestGetMessages","","","test_get_store_message_with_meta",""
"passed","Fri Sep 13 09:51:22 GMT 2024","Fri Sep 13 09:51:22 GMT 2024","12","tests.light_push","test_publish","TestLightPushPublish","","","test_light_push_with_with_large_meta",""
"passed","Fri Sep 13 09:46:29 GMT 2024","Fri Sep 13 09:46:30 GMT 2024","257","tests.filter","test_subscribe_create","TestFilterSubscribeCreate","","","test_filter_subscribe_refresh",""
"passed","Fri Sep 13 10:06:39 GMT 2024","Fri Sep 13 10:13:36 GMT 2024","416517","tests.store","test_cursor","TestCursor","","","test_get_multiple_2000_store_messages",""
"passed","Fri Sep 13 10:02:54 GMT 2024","Fri Sep 13 10:02:54 GMT 2024","209","tests.store","test_ephemeral","TestEphemeral","","","test_message_with_ephemeral_true",""
"passed","Fri Sep 13 10:00:44 GMT 2024","Fri Sep 13 10:00:49 GMT 2024","4971","tests.sharding","test_running_nodes_static_sharding","TestRunningNodesStaticSharding","","","test_multiple_pubsub_topics_same_cluster",""
"passed","Fri Sep 13 09:59:03 GMT 2024","Fri Sep 13 09:59:08 GMT 2024","4975","tests.sharding","test_relay_static_sharding","TestRelayStaticSharding","","","test_unsubscribe_from_all_pubsub_topics",""
